Rank,Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC,Cohen Kappa,MSE
1,KNN,0.8034116331096197,0.19186046511627908,0.953757225433526,0.3194578896418199,0.939584080011007,0.2598361582453199,0.1965883668903803
2,LogisticRegression,0.9860178970917226,0.8186528497409327,0.9132947976878613,0.8633879781420765,0.9921150837666187,0.8560430518228911,0.013982102908277404
3,DecisionTree,0.9675615212527964,0.6244541484716157,0.8265895953757225,0.7114427860696517,0.8662095159150631,0.6946105403889222,0.03243847874720358
4,RandomForest,0.9854586129753915,0.991869918699187,0.7052023121387283,0.8243243243243243,0.990813953685884,0.8169652085068183,0.0145413870246085
