Rank,Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC,Cohen Kappa,MSE
1,KNN,0.6616331096196868,0.12070226773957571,0.953757225433526,0.21428571428571427,0.9071144298043718,0.14046282343191108,0.3383668903803132
2,LogisticRegression,0.9737136465324385,0.659919028340081,0.9421965317919075,0.7761904761904762,0.9818945880802216,0.7626869275333261,0.026286353467561523
3,RandomForest,0.9879753914988815,0.891566265060241,0.8554913294797688,0.8731563421828908,0.9890728853663633,0.8668477037273083,0.012024608501118568
